Examen macroscópico,,,,,
Color,,AMARILLO CLARO,,,
Aspecto,,TRANSPARENTE,,,
Análisis Físico-Químico,,,,,
Esterasa Leucocitaria,Leu/ul,NEGATIVO,,,
pH,,,5.0,6.5,
Densidad,,,1.010,1.025,
Glucosa,mg/dl,,0.0,,
Proteínas,mg/dl,,0.0,,
Hemoglobina,Ery/ul,,0.0,,
Cuerpos cetónicos,mg/dl,,0.0,,
Bilirrubinas,mg/dl,NEGATIVO,.0,,
Urobilinógeno,,mg/dl,0.2,1.0,
Nitritos,,NEGATIVO,,,
,,,,,
Análisis Microscópico de Sedimento,,,,,
Leucocitos,Cel/Campo,Hasta 2 por campo,,,
Piocitos,,AUSENTES,,,
Eritrocitos,Cel/Campo,Hasta 4 POR CAMPO,,,
Células de la uretra,,AUSENTES,,,
Células de urotelio,,AUSENTES,,,
Células renales,,AUSENTES,,,
Cilindros,,AUSENTES,,,
Cilindros Hialinos,,AUSENTES,,,
Cilindros Granulares,,AUSENTES,,,
Cristales de Oxalato de Calcio,,AUSENTES,,,
Cristales de Ácido Úrico,,AUSENTES,,,
Uratos Amorfos,,AUSENTES,,,
Fosfatos Amorfos,,AUSENTES,,,
Análisis Microscópico de Sedimento,,,,,
Riesgo Litogénico,,DE 0-5,,,
Bacterias,,AUSENTES,,,
Biofilm Bacteriano,,NEGATIVO,,,
Levaduras,,AUSENTES,,,
Parásitos,,AUSENTES,,,
Filamentos de Mucina,,AUSENTES,,,
